,checking_status,credit_history,credit_amount,savings,employment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,class,Gender
0,A11,A34,1169,A65,A75,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,0.0,0
1,A12,A32,5951,A61,A73,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,1.0,1
2,A14,A34,2096,A61,A74,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,0.0,0
3,A11,A32,7882,A61,A74,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,0.0,0
4,A11,A33,4870,A61,A73,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,1.0,0
5,A14,A32,9055,A65,A73,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,0.0,0
6,A14,A32,2835,A63,A75,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,0.0,0
7,A12,A32,6948,A61,A73,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,0.0,0
8,A14,A32,3059,A64,A74,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,0.0,0
9,A12,A34,5234,A61,A71,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,1.0,0
10,A12,A32,1295,A61,A72,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,1.0,1
11,A11,A32,4308,A61,A72,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,1.0,1
12,A12,A32,1567,A61,A73,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,0.0,1
13,A11,A34,1199,A61,A75,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,1.0,0
14,A11,A32,1403,A61,A73,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,0.0,1
15,A11,A32,1282,A62,A73,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,1.0,1
16,A14,A34,2424,A65,A75,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,0.0,0
17,A11,A30,8072,A65,A72,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,0.0,0
18,A12,A32,12579,A61,A75,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,1.0,1
19,A14,A32,3430,A63,A75,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,0.0,0
20,A14,A34,2134,A61,A73,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,0.0,0
21,A11,A32,2647,A63,A73,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,0.0,0
22,A11,A34,2241,A61,A72,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,0.0,0
23,A12,A34,1804,A62,A72,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,0.0,0
24,A14,A34,2069,A65,A73,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,0.0,0
25,A11,A32,1374,A61,A73,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,0.0,0
26,A14,A30,426,A61,A75,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,0.0,0
27,A13,A31,409,A64,A73,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,0.0,1
28,A12,A32,2415,A61,A73,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,0.0,0
29,A11,A33,6836,A61,A75,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,1.0,0
30,A12,A32,1913,A64,A72,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,0.0,0
31,A11,A32,4020,A61,A73,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,0.0,0
32,A12,A32,5866,A62,A73,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,0.0,0
33,A14,A34,1264,A65,A75,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,0.0,0
34,A13,A32,1474,A61,A72,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,0.0,1
35,A12,A34,4746,A61,A72,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,1.0,0
36,A14,A34,6110,A61,A73,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,0.0,0
37,A13,A32,2100,A61,A73,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,1.0,0
38,A13,A32,1225,A61,A73,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,0.0,0
39,A12,A32,458,A61,A73,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,0.0,0
40,A14,A32,2333,A63,A75,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,0.0,0
41,A12,A32,1158,A63,A73,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,0.0,0
42,A12,A33,6204,A61,A73,A101,4,A121,44,A143,A152,1,A172,2,A192,A201,0.0,0
43,A11,A34,6187,A62,A74,A101,4,A123,24,A143,A151,2,A173,1,A191,A201,0.0,0
44,A11,A34,6143,A61,A75,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,1.0,1
45,A14,A34,1393,A61,A72,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,0.0,1
46,A14,A32,2299,A63,A75,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,0.0,0
47,A11,A32,1352,A63,A71,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,0.0,1
48,A14,A34,7228,A61,A73,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,0.0,0
49,A14,A32,2073,A62,A73,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,0.0,1
50,A12,A33,2333,A65,A72,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,0.0,0
51,A12,A33,5965,A61,A75,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,0.0,0
52,A14,A32,1262,A61,A73,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,0.0,0
53,A14,A32,3378,A65,A73,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,0.0,0
54,A12,A33,2225,A61,A75,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,1.0,0
55,A14,A31,783,A65,A73,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,0.0,0
56,A12,A32,6468,A65,A71,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,1.0,0
57,A14,A34,9566,A61,A73,A101,2,A123,31,A142,A152,2,A173,1,A191,A201,0.0,1
58,A13,A32,1961,A61,A75,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,0.0,1
59,A11,A34,6229,A61,A72,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,1.0,1
60,A12,A32,1391,A61,A73,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,0.0,0
61,A12,A34,1537,A65,A75,A103,4,A121,50,A143,A152,2,A173,1,A192,A201,0.0,0
62,A12,A30,1953,A61,A75,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,1.0,0
63,A12,A30,14421,A61,A73,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,1.0,0
64,A14,A32,3181,A61,A72,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,0.0,1
65,A14,A32,5190,A65,A75,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,0.0,0
66,A14,A32,2171,A61,A72,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,0.0,1
67,A12,A32,1007,A64,A73,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,0.0,0
68,A14,A32,1819,A61,A73,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,1.0,0
69,A14,A32,2394,A65,A73,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,0.0,1
70,A14,A32,8133,A61,A73,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,0.0,1
71,A14,A34,730,A65,A75,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,0.0,0
72,A11,A34,1164,A61,A75,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,0.0,0
73,A12,A34,5954,A61,A74,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,0.0,1
74,A11,A32,1977,A65,A75,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,1.0,0
75,A11,A34,1526,A61,A75,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,0.0,0
76,A11,A32,3965,A61,A72,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,1.0,0
77,A12,A33,4771,A61,A74,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,0.0,0
78,A14,A30,9436,A65,A73,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,0.0,0
79,A12,A32,3832,A61,A72,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,0.0,0
80,A14,A32,5943,A65,A72,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,1.0,1
81,A14,A32,1213,A63,A75,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,0.0,0
82,A14,A32,1568,A62,A73,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,0.0,1
83,A11,A32,1755,A61,A75,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,0.0,1
84,A11,A32,2315,A61,A75,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,0.0,0
85,A14,A34,1412,A61,A73,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,0.0,1
86,A12,A34,1295,A61,A72,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,0.0,1
87,A12,A32,12612,A62,A73,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,1.0,0
88,A11,A32,2249,A62,A74,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,0.0,0
89,A11,A30,1108,A61,A74,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,1.0,0
90,A14,A34,618,A61,A75,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,0.0,0
91,A11,A34,1409,A61,A75,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,0.0,0
92,A14,A34,797,A65,A75,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,1.0,1
93,A13,A34,3617,A65,A75,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,0.0,0
94,A12,A32,1318,A64,A75,A101,4,A121,54,A143,A152,1,A173,1,A192,A201,0.0,0
95,A12,A30,15945,A61,A72,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,1.0,0
96,A14,A34,2012,A65,A74,A101,2,A123,61,A143,A152,1,A173,1,A191,A201,0.0,1
97,A12,A32,2622,A62,A73,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,0.0,0
98,A12,A34,2337,A61,A75,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,0.0,0
99,A12,A33,7057,A65,A74,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,0.0,0
100,A14,A32,1469,A62,A75,A101,4,A121,41,A143,A151,1,A172,1,A191,A201,0.0,0
101,A12,A32,2323,A61,A74,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,0.0,0
102,A14,A33,932,A61,A73,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,0.0,1
103,A12,A34,1919,A61,A74,A101,3,A123,35,A143,A151,1,A173,1,A192,A201,0.0,0
104,A14,A32,2445,A65,A72,A101,4,A123,26,A143,A151,1,A173,1,A192,A201,0.0,0
105,A12,A34,11938,A61,A73,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,1.0,0
106,A14,A31,6458,A61,A75,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,1.0,0
107,A12,A32,6078,A61,A74,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,0.0,0
108,A11,A32,7721,A65,A72,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,0.0,1
109,A12,A32,1410,A63,A75,A101,2,A121,35,A143,A152,1,A173,1,A192,A201,0.0,0
110,A12,A33,1449,A62,A75,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,0.0,0
111,A13,A32,392,A61,A72,A101,4,A122,23,A143,A151,1,A173,1,A192,A201,0.0,1
112,A12,A32,6260,A61,A74,A101,3,A121,28,A143,A151,1,A172,1,A191,A201,0.0,0
113,A14,A34,7855,A61,A73,A101,2,A121,25,A142,A152,2,A173,1,A192,A201,1.0,1
114,A11,A32,1680,A63,A75,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,0.0,0
115,A14,A34,3578,A65,A75,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,0.0,0
116,A11,A32,7174,A65,A74,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,1.0,1
117,A11,A34,2132,A65,A72,A102,3,A121,27,A143,A151,2,A173,1,A191,A202,0.0,1
118,A11,A34,4281,A63,A73,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,1.0,1
119,A12,A34,2366,A63,A74,A101,3,A123,36,A143,A152,1,A174,1,A192,A201,0.0,0
120,A11,A32,1835,A61,A73,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,1.0,1
121,A14,A34,3868,A61,A75,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,0.0,1
122,A14,A32,1768,A61,A73,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,0.0,0
123,A13,A34,781,A61,A75,A101,4,A124,63,A143,A153,2,A173,1,A192,A201,0.0,0
124,A12,A32,1924,A65,A72,A101,3,A121,27,A143,A151,1,A173,1,A191,A201,1.0,1
125,A11,A34,2121,A61,A73,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,0.0,0
126,A11,A32,701,A61,A73,A101,2,A121,40,A143,A152,1,A172,1,A191,A201,0.0,0
127,A12,A32,639,A61,A73,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1.0,0
128,A12,A34,1860,A61,A71,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,0.0,0
129,A11,A34,3499,A61,A73,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,1.0,1
130,A12,A32,8487,A65,A74,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,0.0,1
131,A11,A33,6887,A61,A73,A101,3,A122,29,A142,A152,1,A173,1,A192,A201,1.0,0
132,A14,A32,2708,A61,A72,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,0.0,0
133,A14,A32,1984,A61,A73,A101,4,A124,47,A141,A153,2,A173,1,A191,A201,0.0,0
134,A14,A32,10144,A62,A74,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,0.0,1
135,A14,A34,1240,A65,A75,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,0.0,1
136,A14,A33,8613,A64,A73,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,0.0,0
137,A12,A32,766,A63,A73,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,1.0,0
138,A12,A34,2728,A65,A74,A103,2,A121,35,A141,A152,3,A173,1,A192,A201,0.0,0
139,A13,A32,1881,A61,A73,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,0.0,1
140,A13,A32,709,A64,A72,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,0.0,0
141,A12,A32,4795,A61,A72,A101,1,A124,30,A143,A152,1,A174,1,A192,A201,0.0,1
142,A11,A32,3416,A61,A73,A101,2,A123,27,A143,A152,1,A174,1,A191,A201,0.0,0
143,A11,A32,2462,A61,A73,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,1.0,0
144,A14,A34,2288,A61,A72,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,0.0,1
145,A12,A31,3566,A62,A74,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,0.0,0
146,A11,A34,860,A61,A75,A101,4,A124,39,A143,A152,2,A173,1,A192,A201,0.0,1
147,A14,A34,682,A62,A74,A101,3,A123,51,A143,A152,2,A173,1,A192,A201,0.0,1
148,A11,A34,5371,A61,A73,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,0.0,0
149,A14,A34,1582,A64,A75,A101,4,A123,46,A143,A152,2,A173,1,A191,A201,0.0,0
150,A14,A32,1346,A62,A75,A101,4,A124,42,A141,A153,1,A173,2,A192,A201,0.0,0
151,A14,A32,1924,A61,A73,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,0.0,0
152,A13,A32,5848,A61,A73,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,0.0,0
153,A12,A34,7758,A64,A75,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,0.0,1
154,A12,A33,6967,A62,A74,A101,4,A123,36,A143,A151,1,A174,1,A192,A201,0.0,0
155,A11,A32,1282,A61,A73,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,1.0,1
156,A11,A34,1288,A62,A75,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,0.0,0
157,A11,A31,339,A61,A75,A101,1,A123,45,A141,A152,1,A172,1,A191,A201,0.0,0
158,A12,A32,3512,A62,A74,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,0.0,0
159,A14,A34,1898,A65,A73,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,0.0,0
160,A14,A34,2872,A62,A75,A101,4,A121,36,A143,A152,1,A173,2,A192,A201,0.0,0
161,A14,A34,1055,A61,A72,A101,1,A122,30,A143,A152,2,A173,1,A191,A201,0.0,1
162,A14,A32,1262,A63,A74,A101,3,A122,36,A143,A152,2,A173,1,A192,A201,0.0,0
163,A12,A32,7308,A61,A71,A101,4,A124,70,A141,A153,1,A174,1,A192,A201,0.0,0
164,A14,A32,909,A63,A75,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,0.0,0
165,A14,A32,2978,A63,A73,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,0.0,0
166,A11,A32,1131,A61,A71,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,1.0,1
167,A12,A32,1577,A64,A72,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,0.0,1
168,A14,A32,3972,A61,A74,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,0.0,1
169,A12,A34,1935,A61,A75,A101,4,A121,31,A143,A152,2,A173,1,A192,A201,1.0,0
170,A11,A30,950,A61,A75,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,1.0,0
171,A14,A32,763,A61,A73,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,0.0,1
172,A12,A33,2064,A61,A71,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,1.0,1
173,A12,A32,1414,A61,A73,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,0.0,0
174,A11,A33,3414,A61,A72,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,1.0,0
175,A14,A31,7485,A65,A71,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,1.0,1
176,A11,A32,2577,A61,A73,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,0.0,0
177,A11,A34,338,A63,A75,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,0.0,0
178,A14,A32,1963,A61,A74,A101,2,A123,31,A143,A151,2,A174,2,A192,A201,0.0,0
179,A11,A34,571,A61,A75,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,0.0,0
180,A14,A33,9572,A61,A72,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,1.0,0
181,A12,A33,4455,A61,A73,A101,2,A121,30,A142,A152,2,A174,1,A192,A201,1.0,0
182,A11,A31,1647,A65,A73,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,1.0,0
183,A14,A34,3777,A64,A73,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,0.0,0
184,A12,A34,884,A61,A75,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,1.0,0
185,A14,A34,1360,A61,A73,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,0.0,0
186,A12,A31,5129,A61,A75,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,1.0,1
187,A12,A34,1175,A61,A71,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,0.0,0
188,A11,A32,674,A62,A74,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,1.0,0
189,A12,A30,3244,A61,A73,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,0.0,1
190,A14,A32,4591,A64,A73,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,1.0,0
191,A12,A30,3844,A62,A74,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,1.0,0
192,A12,A32,3915,A61,A73,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,1.0,0
193,A14,A32,2108,A61,A74,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,0.0,0
194,A12,A32,3031,A62,A73,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,1.0,0
195,A12,A34,1501,A61,A75,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,1.0,1
196,A14,A34,1382,A61,A73,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,0.0,1
197,A12,A32,951,A62,A72,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,1.0,1
198,A12,A32,2760,A65,A75,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,0.0,0
199,A12,A33,4297,A61,A75,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,1.0,0
200,A14,A34,936,A63,A75,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,0.0,0
201,A11,A32,1168,A61,A73,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,0.0,0
202,A14,A33,5117,A61,A74,A101,4,A123,26,A143,A152,2,A173,1,A191,A201,0.0,0
203,A11,A32,902,A61,A74,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,1.0,0
204,A14,A34,1495,A61,A75,A101,1,A121,38,A143,A152,2,A172,2,A191,A201,0.0,0
205,A11,A34,10623,A61,A75,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,0.0,0
206,A14,A34,1935,A61,A75,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,0.0,0
207,A12,A34,1424,A61,A74,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,0.0,0
208,A11,A32,6568,A61,A73,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,0.0,0
209,A14,A32,1413,A64,A74,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,0.0,0
210,A14,A34,3074,A65,A73,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,0.0,0
211,A14,A32,3835,A65,A75,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,0.0,1
212,A11,A30,5293,A61,A71,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,1.0,0
213,A13,A33,1908,A61,A75,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,1.0,0
214,A14,A34,3342,A65,A75,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,0.0,0
215,A12,A34,932,A65,A74,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,0.0,1
216,A11,A30,3104,A61,A74,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,0.0,0
217,A13,A32,3913,A61,A73,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,0.0,0
218,A11,A32,3021,A61,A73,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,0.0,0
219,A14,A32,1364,A61,A73,A101,4,A123,64,A143,A152,1,A173,1,A192,A201,0.0,1
220,A12,A32,625,A61,A72,A103,1,A121,26,A141,A152,1,A172,1,A191,A201,0.0,0
221,A11,A32,1200,A65,A73,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,0.0,1
222,A14,A32,707,A61,A73,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,0.0,0
223,A14,A33,2978,A65,A73,A101,4,A121,32,A143,A152,2,A173,2,A192,A201,0.0,0
224,A14,A32,4657,A61,A73,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,0.0,0
225,A14,A30,2613,A61,A73,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,0.0,0
226,A12,A32,10961,A64,A74,A102,2,A124,27,A141,A152,2,A173,1,A192,A201,1.0,0
227,A11,A32,7865,A61,A75,A101,4,A124,53,A143,A153,1,A174,1,A192,A201,1.0,0
228,A14,A32,1478,A61,A74,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,1.0,0
229,A11,A32,3149,A61,A72,A101,1,A124,22,A141,A153,1,A173,1,A191,A201,0.0,0
230,A13,A32,4210,A61,A73,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,1.0,0
231,A14,A32,2507,A63,A75,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,0.0,0
232,A14,A32,2141,A62,A74,A101,1,A124,35,A143,A152,1,A173,1,A191,A201,0.0,0
233,A12,A32,866,A61,A73,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,0.0,0
234,A14,A34,1544,A61,A74,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,0.0,0
235,A11,A32,1823,A61,A71,A101,2,A123,30,A142,A152,1,A174,2,A191,A201,1.0,0
236,A12,A32,14555,A65,A71,A101,2,A122,23,A143,A152,1,A171,1,A192,A201,1.0,0
237,A12,A32,2767,A62,A75,A101,2,A123,61,A141,A151,2,A172,1,A191,A201,1.0,0
238,A14,A34,1291,A61,A73,A101,2,A122,35,A143,A152,2,A173,1,A191,A201,0.0,1
239,A11,A32,2522,A61,A75,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,0.0,0
240,A11,A32,915,A65,A75,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1.0,1
241,A14,A32,1595,A61,A74,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,0.0,0
242,A11,A30,4605,A61,A75,A101,4,A124,24,A143,A153,2,A173,2,A191,A201,1.0,0
243,A14,A34,1185,A61,A73,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,0.0,1
244,A14,A31,3447,A63,A73,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,0.0,1
245,A14,A32,1258,A61,A74,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,0.0,0
246,A14,A34,717,A61,A75,A101,4,A121,52,A143,A152,3,A173,1,A191,A201,0.0,0
247,A14,A30,1204,A62,A73,A101,1,A124,35,A141,A151,1,A173,1,A191,A202,0.0,0
